id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
1,간장게장정식,Soy Sauce Marinated Crab Served with Rice and Side Dishes,"This course meal consists of crab marinated in soy sauce, rice, and different side dishes. The crab marinated in soy sauce is made by fermenting fresh crabs in a boiled brine of soy sauce, green onion, and garlic.",,상차림 [Sangcharim],,
2,백반,Combination Meals,"This is a meal of rice and soup served with various side dishes that are commonly eaten at home, such as vegetable salads, grilled fish, and kimchi. It is considered to be a typical Korean home-style meal.",,상차림 [Sangcharim],,
3,보리밥정식,Barley Rice Served with Side Dishes,"This course meal consists of a bowl of barley and rice or barley alone and different side dishes. The barley rice can be mixed with vegetables, gochujang (red chili paste), and sesame oil.",,상차림 [Sangcharim],,
4,산채 정식,Wild Vegetable Dish Combo,"This course meal consists of rice and soup with vegetable side dishes, such as seasoned bracken, aster, mushroom, bonnet bellflower root, and fatsia shoot. These mild-tasting wild vegetables have distinctive flavors and fragrances.",,상차림 [Sangcharim],,
5,쌈밥 정식,Leaf Wraps and Rice Combo,"Traditional Korean course meal consisting of rice, fish, stir-fried pork, kimchi, green salad, pickled vegetables, and salted seafood with various leafy vegetables such as Korean cabbage leaves and lettuce with ssamjang (spicy dipping sauce), which is made by mixing gochujang (red chili paste), doenjang (soybean paste), and other seasonings.
",,상차림 [Sangcharim],,
6,한정식,Korean Table d'hote,"The traditional Hanjeongsik is a set meal with an array of side dishes served with rice and soup. For a more modern dining experience, the meal is served in courses, including appetizers, rice as the main dish, various side dishes, and dessert.",,상차림 [Sangcharim],,
7,곤드레나물밥,Thistle Rice,"Made with dried gondeure (thistle), a fragrant, wild mountain plant, which is soaked in water and squeezed, this dish is served with rice cooked with a little perilla oil and topped with seasoned thistle, along with some sauce.",,밥 [Bap],,
8,굴국밥,Oyster and Rice Soup,"This is rice in an oyster soup made by boiling fresh oysters with radish, bean curd, onion, anchovy, and mushroom. Add brown seaweed and chive to the soup to remove the fishy smell oysters are known for.",,밥 [Bap],,
9,굴밥,Oyster Rice,"Short grain rice presoaked and cooked. Oysters are added after the heat is turned off, allowing them to cook with the rice in the residual heat. This dish is a winter delicacy, as oysters are in their prime in winter and rich in minerals and vitamin A.",,밥 [Bap],,
10,김밥,Gimbap,"Rice seasoned with salt and sesame oil and rolled up in a sheet of roasted gim (dried laver) with spinach, carrots, and pickled white radish. The long roll is sliced and served in bite-sized pieces .",,밥 [Bap],,
11,김치김밥,Kimchi Gimbap,"Cooked short grain rice seasoned with salt and sesame oil, spread thinly over a sheet of seaweed, and rolled with a filling of various basic ingredients, such as danmuji (yellow pickled radish), parboiled and seasoned spinach, pan-fried and beaten julienned egg and carrot, and ham strips, with or without chopped kimchi. The gimbap roll is cut into bite-sized pieces before served.",,밥 [Bap],,
12,김치볶음밥,Kimchi Fried Rice,"Rice fried with finelychopped kimchi. Beef, pork, onions, green onions, and other vegetables may be added according to taste.",,밥 [Bap],,
13,깍두기볶음밥,Diced Radish Kimchi Fried Rice,"fried rice with kkakdugi (cubed radish kimchi). It is seasoned with kkakdugi liquid, sugar, soy sauce, and gochujang (red chili paste). Chopped meat, ham, or sausage may also be added.",,밥 [Bap],,
14,꼬마김밥,Mini Gimbap,"This dish is made by cutting a sheet of seaweed into smaller pieces, spreading cooked rice thinly on the pieces, and then rolling it with a filling of various ingredients, such as danmuji (yellow pickled radish), ham strips, spinach, and carrot. It is smaller than usual-sized gimbap, being bite-sized, and easier to eat.",,밥 [Bap],,
15,꼬막비빔밥,Cockle Bibimbap,"This dish consists of cooked rice mixed with cleaned and cooked cockles, a savory sauce made with soy sauce, and condiment vegetables, such as perilla leaves. Cheongyang chili peppers may be added to make the dish spicy and give it a flavor boost.",,밥 [Bap],,
16,낙지덮밥,Stir-fried Octopus with Rice,This dish is made by stir-frying sliced onion and carrots along with sauce over high heat in an oiled pan. Bite-sized pieces of octopus are then added to the half-cooked vegetables. It is served with cooked rice.,,밥 [Bap],,
17,누룽지,Scorched Rice,The thin crust of overcooked rice left at the bottom of a heated rice pot. Its savory taste makes it ideal for a crispy snack or making rice tea(sungnyung).,,밥 [Bap],,
18,달걀볶음밥,Egg Fried Rice,"Fried rice with a beaten egg. It can be seasoned with soy sauce or salt, or sprinkled lightly with pepper and sesame oil. Children love the savory flavor.",,밥 [Bap],,
19,대나무통밥,Steamed Rice in Bamboo Tube,"This is a nutritious dish of glutinous rice, plain short grain rice, beans, chestnuts, gingko nuts, and pine nuts, all steamed in a bamboo tube and covered with hanji (traditional Korean paper).",,밥 [Bap],,
